Store,Date,Forecast_Sales,Lower_CI_85,Upper_CI_85,DayOfWeek,IsWeekend
1,2015-08-01,12794.35,10875.19,14713.5,6,1
1,2015-08-02,13843.75,11767.19,15920.32,7,1
1,2015-08-03,12568.05,10682.84,14453.26,1,0
1,2015-08-04,11748.84,9986.52,13511.17,2,0
1,2015-08-05,11513.57,9786.54,13240.61,3,0
1,2015-08-06,11981.09,10183.93,13778.25,4,0
1,2015-08-07,13970.63,11875.04,16066.23,5,0
1,2015-08-08,16077.68,13666.03,18489.33,6,1
1,2015-08-09,16484.64,14011.95,18957.34,7,1
1,2015-08-10,11043.58,9387.05,12700.12,1,0
1,2015-08-11,10276.3,8734.86,11817.75,2,0
1,2015-08-12,9777.6,8310.96,11244.24,3,0
1,2015-08-13,10234.33,8699.18,11769.48,4,0
1,2015-08-14,12028.72,10224.41,13833.03,5,0
1,2015-08-15,13589.39,11550.98,15627.8,6,1
1,2015-08-16,13799.33,11729.43,15869.23,7,1
1,2015-08-17,13061.35,11102.15,15020.55,1,0
1,2015-08-18,11869.98,10089.49,13650.48,2,0
1,2015-08-19,11440.86,9724.73,13156.98,3,0
1,2015-08-20,11907.98,10121.78,13694.18,4,0
1,2015-08-21,13954.06,11860.95,16047.17,5,0
1,2015-08-22,16050.12,13642.6,18457.64,6,1
1,2015-08-23,16529.68,14050.23,19009.14,7,1
1,2015-08-24,10953.99,9310.89,12597.09,1,0
1,2015-08-25,9889.86,8406.38,11373.33,2,0
1,2015-08-26,9483.77,8061.21,10906.34,3,0
1,2015-08-27,10157.28,8633.69,11680.87,4,0
1,2015-08-28,11992.97,10194.02,13791.91,5,0
1,2015-08-29,13698.4,11643.64,15753.16,6,1
1,2015-08-30,13769.43,11704.02,15834.85,7,1
2,2015-08-01,9948.01,8455.8,11440.21,6,1
2,2015-08-02,10628.96,9034.62,12223.3,7,1
2,2015-08-03,9982.97,8485.52,11480.41,1,0
2,2015-08-04,9116.59,7749.1,10484.08,2,0
2,2015-08-05,8736.34,7425.89,10046.79,3,0
2,2015-08-06,9234.13,7849.01,10619.24,4,0
2,2015-08-07,10853.37,9225.36,12481.37,5,0
2,2015-08-08,12258.21,10419.48,14096.94,6,1
2,2015-08-09,12964.69,11019.99,14909.39,7,1
2,2015-08-10,9176.37,7799.92,10552.83,1,0
2,2015-08-11,8410.7,7149.09,9672.3,2,0
2,2015-08-12,7955.94,6762.55,9149.34,3,0
2,2015-08-13,8240.38,7004.32,9476.44,4,0
2,2015-08-14,9678.26,8226.52,11130.0,5,0
2,2015-08-15,10948.22,9305.99,12590.45,6,1
2,2015-08-16,11229.55,9545.11,12913.98,7,1
2,2015-08-17,10472.53,8901.65,12043.41,1,0
2,2015-08-18,9516.35,8088.9,10943.8,2,0
2,2015-08-19,9022.66,7669.26,10376.06,3,0
2,2015-08-20,9725.09,8266.33,11183.86,4,0
2,2015-08-21,11407.67,9696.52,13118.81,5,0
2,2015-08-22,13090.9,11127.26,15054.53,6,1
2,2015-08-23,13817.15,11744.58,15889.72,7,1
2,2015-08-24,9450.59,8033.0,10868.18,1,0
2,2015-08-25,8587.59,7299.45,9875.72,2,0
2,2015-08-26,8269.12,7028.75,9509.49,3,0
2,2015-08-27,8711.85,7405.07,10018.63,4,0
2,2015-08-28,10138.43,8617.67,11659.2,5,0
2,2015-08-29,11501.12,9775.95,13226.29,6,1
2,2015-08-30,11465.74,9745.88,13185.6,7,1
3,2015-08-01,10538.94,8958.1,12119.78,6,1
3,2015-08-02,11002.09,9351.78,12652.4,7,1
3,2015-08-03,10295.91,8751.52,11840.3,1,0
3,2015-08-04,9475.24,8053.95,10896.52,2,0
3,2015-08-05,8881.05,7548.89,10213.21,3,0
3,2015-08-06,9554.87,8121.64,10988.1,4,0
3,2015-08-07,11088.83,9425.51,12752.16,5,0
3,2015-08-08,12460.88,10591.75,14330.01,6,1
3,2015-08-09,13573.78,11537.71,15609.85,7,1
3,2015-08-10,9334.76,7934.55,10734.97,1,0
3,2015-08-11,8774.47,7458.3,10090.64,2,0
3,2015-08-12,8289.96,7046.47,9533.46,3,0
3,2015-08-13,8689.05,7385.69,9992.41,4,0
3,2015-08-14,10059.47,8550.55,11568.39,5,0
3,2015-08-15,11500.16,9775.14,13225.19,6,1
3,2015-08-16,11537.11,9806.55,13267.68,7,1
3,2015-08-17,10484.64,8911.95,12057.34,1,0
3,2015-08-18,9707.24,8251.15,11163.32,2,0
3,2015-08-19,9201.17,7821.0,10581.35,3,0
3,2015-08-20,9966.01,8471.11,11460.91,4,0
3,2015-08-21,11902.86,10117.43,13688.29,5,0
3,2015-08-22,13507.18,11481.1,15533.26,6,1
3,2015-08-23,13930.64,11841.05,16020.24,7,1
3,2015-08-24,9546.86,8114.83,10978.89,1,0
3,2015-08-25,8637.8,7342.13,9933.47,2,0
3,2015-08-26,8342.44,7091.07,9593.8,3,0
3,2015-08-27,8703.66,7398.11,10009.21,4,0
3,2015-08-28,10127.22,8608.13,11646.3,5,0
3,2015-08-29,11691.87,9938.09,13445.65,6,1
3,2015-08-30,11724.66,9965.96,13483.35,7,1
4,2015-08-01,12489.26,10615.87,14362.65,6,1
4,2015-08-02,13236.6,11251.11,15222.08,7,1
4,2015-08-03,12573.85,10687.77,14459.92,1,0
4,2015-08-04,11394.57,9685.39,13103.76,2,0
4,2015-08-05,11052.15,9394.33,12709.97,3,0
4,2015-08-06,11786.99,10018.94,13555.03,4,0
4,2015-08-07,13845.75,11768.88,15922.61,5,0
4,2015-08-08,15812.76,13440.85,18184.68,6,1
4,2015-08-09,16306.0,13860.1,18751.9,7,1
4,2015-08-10,10996.21,9346.78,12645.64,1,0
4,2015-08-11,10154.81,8631.59,11678.03,2,0
4,2015-08-12,9744.68,8282.98,11206.39,3,0
4,2015-08-13,10269.08,8728.72,11809.44,4,0
4,2015-08-14,11917.03,10129.48,13704.59,5,0
4,2015-08-15,13479.37,11457.47,15501.28,6,1
4,2015-08-16,13775.67,11709.32,15842.02,7,1
4,2015-08-17,13012.01,11060.21,14963.81,1,0
4,2015-08-18,11976.24,10179.8,13772.67,2,0
4,2015-08-19,11520.6,9792.51,13248.69,3,0
4,2015-08-20,11992.27,10193.43,13791.11,4,0
4,2015-08-21,14046.02,11939.12,16152.93,5,0
4,2015-08-22,16029.24,13624.86,18433.63,6,1
4,2015-08-23,16356.75,13903.24,18810.26,7,1
4,2015-08-24,10920.93,9282.79,12559.07,1,0
4,2015-08-25,9817.41,8344.8,11290.03,2,0
4,2015-08-26,9514.08,8086.97,10941.2,3,0
4,2015-08-27,10084.83,8572.11,11597.56,4,0
4,2015-08-28,11909.38,10122.97,13695.78,5,0
4,2015-08-29,13405.25,11394.46,15416.03,6,1
4,2015-08-30,13796.2,11726.77,15865.63,7,1
5,2015-08-01,9588.9,8150.57,11027.24,6,1
5,2015-08-02,10304.97,8759.22,11850.71,7,1
5,2015-08-03,9615.88,8173.49,11058.26,1,0
5,2015-08-04,8663.92,7364.33,9963.51,2,0
5,2015-08-05,8350.79,7098.17,9603.41,3,0
5,2015-08-06,8865.75,7535.89,10195.62,4,0
5,2015-08-07,10338.53,8787.75,11889.31,5,0
5,2015-08-08,12064.4,10254.74,13874.07,6,1
5,2015-08-09,12663.09,10763.63,14562.55,7,1
5,2015-08-10,8642.87,7346.44,9939.3,1,0
5,2015-08-11,7895.74,6711.38,9080.1,2,0
5,2015-08-12,7536.34,6405.89,8666.79,3,0
5,2015-08-13,7761.25,6597.06,8925.43,4,0
5,2015-08-14,9151.28,7778.59,10523.97,5,0
5,2015-08-15,10444.97,8878.22,12011.71,6,1
5,2015-08-16,10559.0,8975.15,12142.85,7,1
5,2015-08-17,9934.47,8444.3,11424.64,1,0
5,2015-08-18,9086.45,7723.48,10449.41,2,0
5,2015-08-19,8665.48,7365.66,9965.3,3,0
5,2015-08-20,9113.09,7746.12,10480.05,4,0
5,2015-08-21,10774.32,9158.18,12390.47,5,0
5,2015-08-22,11988.87,10190.54,13787.2,6,1
5,2015-08-23,12628.24,10734.0,14522.48,7,1
5,2015-08-24,8533.42,7253.41,9813.44,1,0
5,2015-08-25,7743.73,6582.17,8905.29,2,0
5,2015-08-26,7557.94,6424.25,8691.64,3,0
5,2015-08-27,7763.5,6598.97,8928.02,4,0
5,2015-08-28,9056.48,7698.01,10414.95,5,0
5,2015-08-29,10216.27,8683.83,11748.72,6,1
5,2015-08-30,10471.07,8900.41,12041.73,7,1
6,2015-08-01,10221.32,8688.12,11754.52,6,1
6,2015-08-02,10596.73,9007.22,12186.24,7,1
6,2015-08-03,9893.72,8409.66,11377.78,1,0
6,2015-08-04,8989.74,7641.28,10338.2,2,0
6,2015-08-05,8589.14,7300.77,9877.51,3,0
6,2015-08-06,9079.55,7717.62,10441.48,4,0
6,2015-08-07,10668.05,9067.85,12268.26,5,0
6,2015-08-08,12277.37,10435.77,14118.98,6,1
6,2015-08-09,12852.3,10924.45,14780.14,7,1
6,2015-08-10,9060.65,7701.55,10419.74,1,0
6,2015-08-11,8192.89,6963.96,9421.83,2,0
6,2015-08-12,7716.62,6559.13,8874.12,3,0
6,2015-08-13,8028.74,6824.43,9233.06,4,0
6,2015-08-14,9314.77,7917.56,10711.99,5,0
6,2015-08-15,10483.13,8910.66,12055.6,6,1
6,2015-08-16,10750.8,9138.18,12363.41,7,1
6,2015-08-17,10041.05,8534.9,11547.21,1,0
6,2015-08-18,9141.3,7770.11,10512.5,2,0
6,2015-08-19,8702.53,7397.15,10007.92,3,0
6,2015-08-20,9122.74,7754.33,10491.15,4,0
6,2015-08-21,10811.38,9189.67,12433.09,5,0
6,2015-08-22,12090.78,10277.16,13904.4,6,1
6,2015-08-23,12737.64,10826.99,14648.28,7,1
6,2015-08-24,8811.06,7489.4,10132.72,1,0
6,2015-08-25,7823.84,6650.26,8997.41,2,0
6,2015-08-26,7551.36,6418.66,8684.07,3,0
6,2015-08-27,7843.78,6667.21,9020.35,4,0
6,2015-08-28,9029.77,7675.3,10384.24,5,0
6,2015-08-29,10453.69,8885.64,12021.75,6,1
6,2015-08-30,10641.25,9045.06,12237.44,7,1
7,2015-08-01,9826.91,8352.87,11300.94,6,1
7,2015-08-02,10469.41,8899.0,12039.82,7,1
7,2015-08-03,9778.5,8311.72,11245.27,1,0
7,2015-08-04,8795.88,7476.5,10115.27,2,0
7,2015-08-05,8479.05,7207.19,9750.9,3,0
7,2015-08-06,8985.11,7637.35,10332.88,4,0
7,2015-08-07,10644.98,9048.23,12241.73,5,0
7,2015-08-08,12082.46,10270.09,13894.82,6,1
7,2015-08-09,12939.51,10998.59,14880.44,7,1
7,2015-08-10,8855.24,7526.96,10183.53,1,0
7,2015-08-11,7914.67,6727.47,9101.87,2,0
7,2015-08-12,7676.52,6525.04,8828.0,3,0
7,2015-08-13,7980.68,6783.58,9177.78,4,0
7,2015-08-14,9218.36,7835.61,10601.12,5,0
7,2015-08-15,10551.22,8968.54,12133.9,6,1
7,2015-08-16,10627.09,9033.02,12221.15,7,1
7,2015-08-17,10002.11,8501.79,11502.42,1,0
7,2015-08-18,9131.08,7761.42,10500.74,2,0
7,2015-08-19,8647.74,7350.58,9944.9,3,0
7,2015-08-20,9078.37,7716.61,10440.13,4,0
7,2015-08-21,10758.99,9145.14,12372.84,5,0
7,2015-08-22,12074.05,10262.94,13885.15,6,1
7,2015-08-23,12814.21,10892.08,14736.35,7,1
7,2015-08-24,8782.2,7464.87,10099.53,1,0
7,2015-08-25,7871.58,6690.84,9052.32,2,0
7,2015-08-26,7514.0,6386.9,8641.1,3,0
7,2015-08-27,7843.78,6667.21,9020.35,4,0
7,2015-08-28,9080.6,7718.51,10442.69,5,0
7,2015-08-29,10407.8,8846.63,11968.97,6,1
7,2015-08-30,10649.44,9052.02,12246.85,7,1
8,2015-08-01,10075.57,8564.23,11586.9,6,1
8,2015-08-02,10577.42,8990.8,12164.03,7,1
8,2015-08-03,10028.56,8524.28,11532.85,1,0
8,2015-08-04,9168.75,7793.44,10544.07,2,0
8,2015-08-05,8661.33,7362.13,9960.53,3,0
8,2015-08-06,9183.11,7805.65,10560.58,4,0
8,2015-08-07,10623.35,9029.85,12216.85,5,0
8,2015-08-08,12194.88,10365.65,14024.11,6,1
8,2015-08-09,12864.53,10934.85,14794.21,7,1
8,2015-08-10,9084.55,7721.87,10447.23,1,0
8,2015-08-11,8117.39,6899.78,9335.0,2,0
8,2015-08-12,7665.67,6515.82,8815.52,3,0
8,2015-08-13,8024.15,6820.52,9227.77,4,0
8,2015-08-14,9357.02,7953.47,10760.57,5,0
8,2015-08-15,10558.49,8974.72,12142.26,6,1
8,2015-08-16,10760.29,9146.25,12374.33,7,1
8,2015-08-17,10117.86,8600.18,11635.53,1,0
8,2015-08-18,9250.33,7862.78,10637.88,2,0
8,2015-08-19,8729.54,7420.11,10038.97,3,0
8,2015-08-20,9116.24,7748.8,10483.68,4,0
8,2015-08-21,10815.84,9193.47,12438.22,5,0
8,2015-08-22,12313.74,10466.67,14160.8,6,1
8,2015-08-23,13105.32,11139.52,15071.12,7,1
8,2015-08-24,8999.56,7649.63,10349.49,1,0
8,2015-08-25,8240.21,7004.18,9476.24,2,0
8,2015-08-26,7867.26,6687.17,9047.35,3,0
8,2015-08-27,8115.12,6897.85,9332.39,4,0
8,2015-08-28,9516.8,8089.28,10944.32,5,0
8,2015-08-29,10729.43,9120.01,12338.84,6,1
8,2015-08-30,10988.95,9340.6,12637.29,7,1
9,2015-08-01,9753.2,8290.22,11216.18,6,1
9,2015-08-02,10483.29,8910.79,12055.78,7,1
9,2015-08-03,9862.21,8382.88,11341.55,1,0
9,2015-08-04,8865.37,7535.57,10195.18,2,0
9,2015-08-05,8626.24,7332.3,9920.18,3,0
9,2015-08-06,9070.09,7709.58,10430.6,4,0
9,2015-08-07,10573.83,8987.75,12159.9,5,0
9,2015-08-08,12146.04,10324.13,13967.95,6,1
9,2015-08-09,12653.86,10755.78,14551.94,7,1
9,2015-08-10,9019.65,7666.7,10372.6,1,0
9,2015-08-11,8100.75,6885.63,9315.86,2,0
9,2015-08-12,7664.1,6514.48,8813.71,3,0
9,2015-08-13,7942.41,6751.05,9133.77,4,0
9,2015-08-14,9045.58,7688.74,10402.42,5,0
9,2015-08-15,10486.91,8913.88,12059.95,6,1
9,2015-08-16,10527.43,8948.32,12106.55,7,1
9,2015-08-17,9988.65,8490.36,11486.95,1,0
9,2015-08-18,9189.12,7810.75,10567.48,2,0
9,2015-08-19,8637.51,7341.88,9933.13,3,0
9,2015-08-20,9130.28,7760.74,10499.82,4,0
9,2015-08-21,10812.97,9191.02,12434.91,5,0
9,2015-08-22,12060.22,10251.19,13869.25,6,1
9,2015-08-23,12680.81,10778.69,14582.93,7,1
9,2015-08-24,8898.25,7563.51,10232.98,1,0
9,2015-08-25,7963.71,6769.15,9158.26,2,0
9,2015-08-26,7592.79,6453.87,8731.71,3,0
9,2015-08-27,7937.32,6746.72,9127.92,4,0
9,2015-08-28,9083.62,7721.08,10446.16,5,0
9,2015-08-29,10354.96,8801.71,11908.2,6,1
9,2015-08-30,10538.33,8957.58,12119.08,7,1
10,2015-08-01,10026.86,8522.83,11530.89,6,1
10,2015-08-02,10657.79,9059.13,12256.46,7,1
10,2015-08-03,9858.82,8380.0,11337.64,1,0
10,2015-08-04,8927.96,7588.77,10267.16,2,0
10,2015-08-05,8589.24,7300.86,9877.63,3,0
10,2015-08-06,9021.24,7668.06,10374.43,4,0
10,2015-08-07,10719.56,9111.62,12327.49,5,0
10,2015-08-08,12239.68,10403.72,14075.63,6,1
10,2015-08-09,12875.97,10944.57,14807.36,7,1
10,2015-08-10,8829.74,7505.28,10154.2,1,0
10,2015-08-11,8076.64,6865.15,9288.14,2,0
10,2015-08-12,7611.88,6470.1,8753.66,3,0
10,2015-08-13,7939.3,6748.41,9130.2,4,0
10,2015-08-14,9173.83,7797.76,10549.91,5,0
10,2015-08-15,10583.8,8996.23,12171.37,6,1
10,2015-08-16,10800.91,9180.77,12421.04,7,1
10,2015-08-17,10145.77,8623.9,11667.63,1,0
10,2015-08-18,9220.84,7837.72,10603.97,2,0
10,2015-08-19,8715.69,7408.34,10023.05,3,0
10,2015-08-20,9065.15,7705.38,10424.92,4,0
10,2015-08-21,10766.64,9151.64,12381.63,5,0
10,2015-08-22,12207.23,10376.15,14038.32,6,1
10,2015-08-23,12823.38,10899.87,14746.89,7,1
10,2015-08-24,8788.04,7469.84,10106.25,1,0
10,2015-08-25,7822.06,6648.75,8995.37,2,0
10,2015-08-26,7554.75,6421.54,8687.96,3,0
10,2015-08-27,7913.45,6726.44,9100.47,4,0
10,2015-08-28,9026.29,7672.35,10380.23,5,0
10,2015-08-29,10377.72,8821.06,11934.38,6,1
10,2015-08-30,10664.57,9064.89,12264.26,7,1
